session_id,timestamp,traffic_source,campaign_id,device_type,landing_page_variant,geo_region,returning_visitor,session_duration_sec,scroll_depth_pct,num_clicks,sections_viewed,time_to_first_scroll_sec,form_started,form_field_interactions,converted,appointment_set,appointment_overall,log_duration,log_clicks,log_time_to_first_scroll,session_date,intent_score,intent_tier
s_761604,2026-02-13 04:33:09,google,g_camp_0012,mobile,A,Northeast,0,5.6,32.0,2,0,5.78,0,0,0,,0,1.8870696490323797,1.0986122886681096,1.9139771019523042,2026-02-13,0.0014039910440566035,Low
s_534533,2026-03-12 03:45:16,facebook,fb_camp_0003,desktop,A,Northeast,0,10.8,0.0,2,1,5.75,0,0,0,,0,2.468099531471619,1.0986122886681096,1.9095425048844383,2026-03-12,0.0012058716533297244,Low
s_169617,2026-03-12 09:28:40,google,g_camp_0013,mobile,B,West,0,75.0,64.4,10,6,3.41,0,0,0,,0,4.330733340286331,2.3978952727983707,1.4838746894587547,2026-03-12,0.17374230225912415,High
s_621985,2026-03-24 20:53:40,facebook,fb_camp_0003,desktop,A,South,0,37.1,18.5,6,3,5.09,0,0,0,,0,3.6402142821326553,1.9459101490553132,1.8066480817218056,2026-03-24,0.010770259414216657,Low
s_102393,2026-03-08 10:12:40,google,g_camp_0011,mobile,B,Midwest,0,8.9,9.3,4,2,3.42,0,0,0,,0,2.2925347571405443,1.6094379124341003,1.4861396960896067,2026-03-08,0.003422466670450469,Low
s_245332,2026-03-25 20:54:47,facebook,fb_camp_0001,desktop,B,Northeast,0,58.7,53.1,10,2,1.6,1,1,0,,0,4.089332020398556,2.3978952727983707,0.9555114450274365,2026-03-25,0.044587288539345966,Medium
s_602082,2026-03-11 03:35:19,google,g_camp_0011,mobile,B,Midwest,0,104.1,89.0,10,6,2.5,1,8,1,0.0,0,4.6549122778829055,2.3978952727983707,1.252762968495368,2026-03-11,0.33177926383429845,High
s_453521,2026-03-10 15:32:29,facebook,fb_camp_0007,mobile,B,West,0,7.9,4.4,50,1,0.92,0,0,0,,0,2.186051276738094,3.9318256327243257,0.6523251860396903,2026-03-10,0.022664996470389786,Medium
s_967786,2026-02-20 16:22:32,facebook,fb_camp_0002,mobile,A,South,0,25.5,49.1,1,4,7.23,0,0,0,,0,3.2771447329921766,0.6931471805599453,2.1077860146889784,2026-02-20,0.010138983645590386,Low
s_914197,2026-03-16 06:55:04,facebook,fb_camp_0001,mobile,A,West,0,12.9,11.5,4,2,2.66,0,0,0,,0,2.631888840136646,1.6094379124341003,1.297463147413275,2026-03-16,0.004424515010377458,Low
s_906780,2026-03-07 21:28:00,facebook,fb_camp_0001,desktop,B,Midwest,0,9.4,8.9,1,2,4.14,0,0,0,,0,2.341805806147327,0.6931471805599453,1.6370530794670737,2026-03-07,0.001531485480200316,Low
s_225848,2026-02-05 08:56:30,facebook,fb_camp_0001,mobile,B,Northeast,0,19.6,28.6,0,0,11.4,0,0,0,,0,3.0252910757955354,0.0,2.517696472610991,2026-02-05,0.0006674809523643089,Low
s_556984,2026-02-03 14:48:04,google,g_camp_0012,mobile,A,South,0,79.2,35.5,2,2,7.41,0,0,0,,0,4.384523514872469,1.0986122886681096,2.1294214739848565,2026-02-03,0.006586325183761802,Low
s_445458,2026-03-22 14:31:13,google,g_camp_0011,mobile,B,Northeast,0,88.2,77.3,4,3,3.28,0,0,0,,0,4.490881039585964,1.6094379124341003,1.4539530095937054,2026-03-22,0.05644640448073731,High
s_910101,2026-02-08 10:07:38,google,g_camp_0012,desktop,A,South,0,28.2,32.4,3,3,3.52,0,0,0,,0,3.374168709274236,1.3862943611198906,1.5085119938441398,2026-02-08,0.010224186530619036,Low
s_951564,2026-03-09 17:55:22,facebook,fb_camp_0001,mobile,B,South,0,15.0,18.8,1,2,4.13,0,0,0,,0,2.772588722239781,0.6931471805599453,1.635105659182678,2026-03-09,0.002160174088343436,Low
s_647058,2026-03-12 04:29:29,google,g_camp_0011,mobile,B,Northeast,1,17.1,64.6,6,3,3.1,1,5,0,,0,2.89591193827178,1.9459101490553132,1.410986973710262,2026-03-12,0.033629364819701885,Medium
s_294260,2026-03-19 06:09:12,google,g_camp_0011,desktop,A,South,0,27.5,51.9,8,4,8.22,1,2,0,,0,3.349904087274605,2.1972245773362196,2.2213750375685026,2026-03-19,0.03429158662520493,Medium
s_888557,2026-02-25 13:37:34,google,g_camp_0011,desktop,B,Northeast,0,71.1,100.0,10,5,1.91,1,7,1,0.0,0,4.278054044290903,2.3978952727983707,1.068153081183401,2026-02-25,0.31580620211274624,High
s_886850,2026-02-18 00:18:48,google,g_camp_0013,desktop,A,Midwest,0,43.1,37.1,5,2,2.89,0,0,0,,0,3.7864597824528,1.791759469228055,1.358409157630355,2026-02-18,0.01423557981316107,Medium
s_251556,2026-02-15 02:14:09,google,g_camp_0011,mobile,B,South,0,36.1,22.5,2,3,6.49,0,0,0,,0,3.6136169696133895,1.0986122886681096,2.0135687975291283,2026-02-15,0.005536977974717872,Low
s_377901,2026-02-02 17:33:23,facebook,fb_camp_0003,desktop,A,South,1,64.3,24.1,4,3,4.53,0,0,0,,0,4.178992036282385,1.6094379124341003,1.7101878155342436,2026-02-02,0.01269313289893716,Medium
s_815279,2026-02-14 01:31:15,facebook,fb_camp_0003,mobile,B,South,0,26.6,68.8,7,3,3.04,0,0,0,,0,3.3178157727231046,2.0794415416798357,1.3962446919730587,2026-02-14,0.044235388393742296,Medium
s_435738,2026-03-18 19:30:28,google,g_camp_0011,desktop,A,Northeast,1,43.6,54.5,4,4,3.85,0,0,0,,0,3.7977338590260183,1.6094379124341003,1.578978704949392,2026-03-18,0.03499122750389312,Medium
s_859057,2026-03-25 17:21:26,facebook,fb_camp_0002,mobile,B,Northeast,0,47.9,23.4,4,3,5.81,1,1,0,,0,3.8897773964808264,1.6094379124341003,1.918392120161421,2026-03-25,0.009483266797703317,Low
s_974155,2026-03-08 16:32:23,facebook,fb_camp_0002,mobile,A,Northeast,1,11.6,22.5,3,1,2.63,0,0,0,,0,2.533696813957432,1.3862943611198906,1.2892326482767593,2026-03-08,0.0036296595839202497,Low
s_281700,2026-03-08 12:46:12,facebook,fb_camp_0007,mobile,B,Northeast,0,8.7,1.5,76,1,1.17,0,0,0,,0,2.272125885509337,4.343805421853684,0.7747271675523681,2026-03-08,0.024275698828940283,Medium
s_830909,2026-03-28 12:00:27,google,g_camp_0011,mobile,A,South,0,33.7,57.8,5,3,3.51,0,0,0,,0,3.5467396869528134,1.791759469228055,1.5062971535145868,2026-03-28,0.02933434438944899,Medium
s_021033,2026-02-17 17:28:15,google,g_camp_0013,mobile,B,Northeast,0,25.9,51.1,6,5,2.15,0,0,0,,0,3.292126286607793,1.9459101490553132,1.1474024528375417,2026-02-17,0.05690824784266594,High
s_719245,2026-03-26 05:05:29,facebook,fb_camp_0003,desktop,A,Northeast,0,12.8,55.6,5,0,2.37,0,0,0,,0,2.624668592163159,1.791759469228055,1.2149127443642704,2026-03-26,0.009445057830337706,Low
s_383762,2026-02-04 08:53:54,facebook,fb_camp_0002,mobile,B,Northeast,0,15.6,32.3,0,3,7.75,0,0,0,,0,2.8094026953624973,0.0,2.169053700369523,2026-02-04,0.0018101358023131242,Low
s_694116,2026-02-28 13:17:00,facebook,fb_camp_0002,desktop,B,South,1,60.3,76.4,9,3,2.34,1,3,0,,0,4.115779842942166,2.302585092994046,1.205970806988609,2026-02-28,0.0940586084992009,High
s_377592,2026-02-04 22:32:53,facebook,fb_camp_0003,mobile,B,West,0,17.8,15.8,3,1,10.36,0,0,0,,0,2.9338568698359033,1.3862943611198906,2.4300984132930052,2026-02-04,0.0021275433769356706,Low
s_858139,2026-03-14 18:45:59,facebook,fb_camp_0001,desktop,A,West,0,38.9,90.5,2,5,1.37,1,3,0,,0,3.686376323895818,1.0986122886681096,0.8628899551470399,2026-03-14,0.08601321189371709,High
s_414872,2026-02-22 17:06:06,facebook,fb_camp_0003,mobile,A,South,0,15.7,0.0,3,2,7.54,0,0,0,,0,2.8154087194227095,1.3862943611198906,2.1447610078004784,2026-02-22,0.001902659032893688,Low
s_176356,2026-03-28 03:37:55,google,g_camp_0011,mobile,B,Northeast,0,8.3,19.2,4,2,1.94,0,0,0,,0,2.2300144001592104,1.6094379124341003,1.0784095813505903,2026-03-28,0.005395638626172831,Low
s_917291,2026-03-25 20:54:47,facebook,fb_camp_0001,mobile,B,South,0,4.4,32.7,2,3,4.99,0,0,0,,0,1.6863989535702286,1.0986122886681096,1.790091412127358,2026-03-25,0.004249624571804154,Low
s_824064,2026-02-07 15:36:32,google,g_camp_0011,mobile,B,Northeast,0,69.0,47.4,9,4,5.6,1,4,0,,0,4.248495242049359,2.302585092994046,1.8870696490323797,2026-02-07,0.05337120167499111,Medium
s_067528,2026-02-25 03:35:04,facebook,fb_camp_0002,mobile,B,South,0,107.1,29.4,2,0,7.11,0,0,0,,0,4.683056724645162,1.0986122886681096,2.093097868127322,2026-02-25,0.0036452912996556147,Low
s_154253,2026-02-12 23:22:15,google,g_camp_0013,desktop,A,Midwest,0,42.8,44.4,8,3,2.4,1,3,0,,0,3.7796338173824005,2.1972245773362196,1.2237754316221157,2026-02-12,0.03560567555054111,Medium
s_540520,2026-03-11 06:23:36,google,g_camp_0011,mobile,A,South,0,40.0,70.8,7,4,2.85,0,0,0,,0,3.713572066704308,2.0794415416798357,1.3480731482996928,2026-03-11,0.07491803159085592,High
s_107282,2026-02-14 19:40:34,facebook,fb_camp_0002,desktop,A,Northeast,0,2.7,36.3,0,1,7.19,0,0,0,,0,1.308332819650179,0.0,2.102913897864978,2026-02-14,0.0006554484970432881,Low
s_889736,2026-02-09 11:33:28,google,g_camp_0012,mobile,A,West,1,34.2,21.8,3,2,3.01,0,0,0,,0,3.5610460826040513,1.3862943611198906,1.3887912413184778,2026-02-09,0.006332118123693822,Low
s_528052,2026-02-27 04:37:37,facebook,fb_camp_0001,desktop,A,Northeast,0,39.5,6.6,1,5,5.61,0,0,0,,0,3.7013019741124933,0.6931471805599453,1.888583653863595,2026-02-27,0.004834447046829325,Low
s_797560,2026-02-07 20:11:28,facebook,fb_camp_0001,mobile,B,West,0,21.2,63.5,5,4,15.73,0,0,0,,0,3.100092288878234,1.791759469228055,2.8172035149987327,2026-02-07,0.0258565014045158,Medium
s_682895,2026-03-15 22:21:03,facebook,fb_camp_0002,desktop,A,South,0,264.2,64.3,4,4,6.16,0,0,0,,0,5.580484258311707,1.6094379124341003,1.9685099809725544,2026-03-15,0.07334229911472537,High
s_209340,2026-03-14 03:33:31,facebook,fb_camp_0007,mobile,B,Northeast,0,7.6,5.9,66,1,0.37,0,0,0,,0,2.151762203259462,4.204692619390966,0.31481073984003355,2026-03-14,0.028069840001508077,Medium
s_374197,2026-03-24 09:10:50,google,g_camp_0011,desktop,B,South,0,154.1,100.0,8,1,2.8,1,11,1,0.0,0,5.044070070182493,2.1972245773362196,1.33500106673234,2026-03-24,0.10375914630277051,High
s_500073,2026-02-12 06:55:55,facebook,fb_camp_0002,mobile,A,West,1,29.0,46.2,2,3,3.85,0,0,0,,0,3.4011973816621555,1.0986122886681096,1.578978704949392,2026-02-12,0.010912601548111779,Low
s_313925,2026-02-04 23:13:26,facebook,fb_camp_0003,mobile,B,West,0,22.9,15.5,0,2,9.47,0,0,0,,0,3.173878458937465,0.0,2.3485140248824456,2026-02-04,0.0010371706994055745,Low
s_181717,2026-03-26 04:52:27,facebook,fb_camp_0003,mobile,B,Midwest,0,8.5,12.5,3,1,,0,0,0,,0,2.2512917986064953,1.3862943611198906,,2026-03-26,0.00194216008320908,Low
s_845088,2026-03-08 15:58:00,facebook,fb_camp_0002,desktop,A,Midwest,1,31.3,35.7,6,3,3.7,0,0,0,,0,3.475067230228611,1.9459101490553132,1.547562508716013,2026-03-08,0.017959131702901556,Medium
s_484502,2026-03-16 06:58:06,facebook,fb_camp_0002,desktop,B,West,1,18.4,7.6,4,3,1.79,1,4,0,,0,2.9652730660692823,1.6094379124341003,1.0260415958332743,2026-03-16,0.006998680634189055,Low
s_176550,2026-03-21 08:01:35,facebook,fb_camp_0001,desktop,A,South,0,10.8,28.3,3,2,13.05,0,0,0,,0,2.468099531471619,1.3862943611198906,2.642622395779755,2026-03-21,0.003156250990827488,Low
s_896005,2026-02-19 08:11:11,facebook,fb_camp_0007,mobile,A,South,1,4.3,0.8,29,1,0.23,0,0,0,,0,1.667706820558076,3.4011973816621555,0.20701416938432615,2026-02-19,0.01195457037370506,Medium
s_843611,2026-02-03 18:05:12,google,g_camp_0013,mobile,B,Midwest,1,14.2,64.7,7,2,5.37,0,0,0,,0,2.7212954278522306,2.0794415416798357,1.851599469584072,2026-02-03,0.021736164155667075,Medium
s_109208,2026-03-11 13:32:52,facebook,fb_camp_0001,mobile,B,Northeast,0,27.6,34.7,3,4,5.69,0,0,0,,0,3.353406717825807,1.3862943611198906,1.900613874140137,2026-03-11,0.012624424822399302,Medium
s_613304,2026-02-25 09:17:18,google,g_camp_0011,desktop,A,South,1,24.6,29.9,6,2,4.85,1,3,0,,0,3.242592351485517,1.9459101490553132,1.766441661243765,2026-02-25,0.009696461182934499,Low
s_131808,2026-02-02 08:22:28,facebook,fb_camp_0007,mobile,B,Northeast,0,8.8,2.4,30,0,0.62,0,0,0,,0,2.2823823856765264,3.4339872044851463,0.4824261492442927,2026-02-02,0.009707795375085801,Low
s_961628,2026-02-22 21:31:39,facebook,fb_camp_0002,mobile,A,West,0,1.7,0.0,0,0,4.82,0,0,0,,0,0.9932517730102834,0.0,1.7613002617433464,2026-02-22,0.00018545523650770844,Low
s_305353,2026-02-18 03:42:13,google,g_camp_0011,mobile,B,South,0,21.4,32.3,8,2,4.53,0,0,0,,0,3.109060958860994,2.1972245773362196,1.7101878155342436,2026-02-18,0.01231134074435158,Medium
s_176524,2026-03-25 04:50:02,google,g_camp_0012,mobile,B,South,1,27.7,,4,4,4.61,0,0,0,,0,3.3568971227655755,1.6094379124341003,1.724550719534605,2026-03-25,0.018461115025576687,Medium
s_344770,2026-02-20 03:34:53,facebook,fb_camp_0002,desktop,A,South,0,26.0,25.1,4,3,4.25,1,3,0,,0,3.295836866004329,1.6094379124341003,1.6582280766035324,2026-02-20,0.009383054892202211,Low
s_590095,2026-02-04 15:11:56,google,g_camp_0013,mobile,B,West,0,9.9,49.8,1,3,6.34,0,0,0,,0,2.388762789235098,0.6931471805599453,1.9933388426264242,2026-02-04,0.004999064908728659,Low
s_926918,2026-02-16 03:59:02,facebook,fb_camp_0001,mobile,A,Northeast,0,22.4,0.0,0,2,6.2,0,0,0,,0,3.152736022363656,0.0,1.9740810260220096,2026-02-16,0.0006717581690903622,Low
s_871059,2026-03-21 14:11:44,facebook,fb_camp_0001,mobile,A,South,0,22.6,7.1,1,2,4.97,0,0,0,,0,3.1612467120315646,0.6931471805599453,1.7867469274045107,2026-03-21,0.0017658658533492805,Low
s_903433,2026-02-06 04:16:04,google,g_camp_0011,desktop,B,South,1,203.3,43.2,10,9,4.88,1,3,0,,0,5.319589501823576,2.3978952727983707,1.7715567619105355,2026-02-06,0.3105195455955487,High
s_603667,2026-02-05 03:05:21,google,g_camp_0012,mobile,A,South,0,86.1,53.2,3,1,6.64,1,5,0,,0,4.467056883858457,1.3862943611198906,2.033397603178429,2026-02-05,0.011290173087753258,Low
s_347965,2026-02-17 03:35:54,google,g_camp_0012,mobile,B,South,0,47.0,37.2,5,4,2.87,0,0,0,,0,3.8712010109078907,1.791759469228055,1.3532545070416904,2026-02-17,0.02809992393493566,Medium
s_646731,2026-03-16 07:43:27,facebook,fb_camp_0001,desktop,B,Midwest,1,35.6,51.0,2,3,18.37,0,0,0,,0,3.6000482404073204,1.0986122886681096,2.9637254774189046,2026-03-16,0.0074482872712491165,Low
s_009781,2026-03-10 08:12:33,google,g_camp_0012,mobile,B,West,0,26.6,7.3,4,2,1.51,0,0,0,,0,3.3178157727231046,1.6094379124341003,0.9202827531436926,2026-03-10,0.005699582477035543,Low
s_396533,2026-03-12 04:19:00,facebook,fb_camp_0002,mobile,B,Midwest,0,7.5,10.7,0,2,14.23,0,0,0,,0,2.1400661634962708,0.0,2.7232671669070703,2026-03-12,0.00046128590618944295,Low
s_027338,2026-02-16 21:48:38,facebook,fb_camp_0003,mobile,B,South,1,9.8,0.0,2,2,5.54,0,0,0,,0,2.379546134130174,1.0986122886681096,1.8779371654691073,2026-02-16,0.0014235377781155677,Low
s_004653,2026-02-27 15:52:46,google,g_camp_0011,mobile,B,Northeast,0,259.3,57.3,10,6,2.16,1,2,0,,0,5.561834812000519,2.3978952727983707,1.1505720275988207,2026-02-27,0.24988791822866857,High
s_432195,2026-02-05 08:48:42,facebook,fb_camp_0001,tablet,B,South,0,20.5,2.1,3,1,7.95,0,0,0,,0,3.068052935133617,1.3862943611198906,2.191653532286764,2026-02-05,0.0016439449994679078,Low
s_465392,2026-03-01 20:09:12,google,g_camp_0012,mobile,A,South,0,8.0,55.7,6,6,5.13,1,2,0,,0,2.1972245773362196,1.9459101490553132,1.81319474994812,2026-03-01,0.043079196686645935,Medium
s_924945,2026-02-26 10:26:56,google,g_camp_0011,desktop,A,Northeast,1,287.8,76.2,2,6,3.54,0,0,0,,0,5.665734407018671,1.0986122886681096,1.5129270120532565,2026-02-26,0.12613429371507745,High
s_147152,2026-02-12 21:30:58,google,g_camp_0012,mobile,B,South,1,39.3,54.2,4,5,2.33,0,0,0,,0,3.696351468952637,1.6094379124341003,1.2029723039923526,2026-02-12,0.05077869618728699,Medium
s_190386,2026-03-08 03:29:35,facebook,fb_camp_0003,mobile,B,West,0,8.4,0.0,1,0,5.9,0,0,0,,0,2.2407096892759584,0.6931471805599453,1.9315214116032138,2026-03-08,0.0004885352419931502,Low
s_322447,2026-02-23 00:26:11,google,g_camp_0011,mobile,B,West,0,24.0,42.7,3,5,6.09,0,0,0,,0,3.2188758248682006,1.3862943611198906,1.958685340544036,2026-02-23,0.020437564549910612,Medium
s_210292,2026-02-21 12:06:21,google,g_camp_0013,desktop,B,South,0,38.5,31.7,5,3,4.22,0,0,0,,0,3.676300671907076,1.791759469228055,1.6524974018945473,2026-02-21,0.01518511203833516,Medium
s_513993,2026-02-19 17:26:42,google,g_camp_0011,mobile,A,South,0,158.0,64.7,5,6,2.32,1,1,0,,0,5.0689042022202315,1.791759469228055,1.199964782928397,2026-02-19,0.16122244338151154,High
s_428061,2026-02-20 20:48:02,facebook,fb_camp_0003,mobile,B,West,0,28.6,51.9,2,2,3.17,0,0,0,,0,3.3877743613300146,1.0986122886681096,1.4279160358107101,2026-02-20,0.009806451206237325,Low
s_341635,2026-03-01 15:06:10,google,g_camp_0012,desktop,B,West,0,205.7,70.5,10,8,1.47,0,0,0,,0,5.331268466687723,2.3978952727983707,0.9042181506398859,2026-03-01,0.46228236044927623,High
s_361166,2026-03-06 05:59:37,google,g_camp_0012,desktop,A,Northeast,1,6.8,52.0,3,2,2.5,0,0,0,,0,2.0541237336955462,1.3862943611198906,1.252762968495368,2026-03-06,0.008680629159031351,Low
s_366950,2026-02-07 04:46:03,google,g_camp_0011,mobile,A,Northeast,0,57.2,49.0,5,3,7.68,0,0,0,,0,4.063885354737392,1.791759469228055,2.1610215286722587,2026-02-07,0.02233876000929031,Medium
s_102469,2026-03-25 02:11:53,facebook,fb_camp_0003,mobile,B,West,1,14.9,53.9,3,1,2.6,0,0,0,,0,2.766319109226186,1.3862943611198906,1.2809338454620645,2026-03-25,0.007845102988552496,Low
s_985521,2026-02-15 01:06:40,google,g_camp_0012,mobile,B,Northeast,1,41.6,58.5,2,4,,0,0,0,,0,3.751854253275325,1.0986122886681096,,2026-02-15,0.02318027200352414,Medium
s_118080,2026-03-24 11:20:23,google,g_camp_0012,mobile,A,South,0,30.2,51.7,4,4,8.0,0,0,0,,0,3.4404180948154366,1.6094379124341003,2.1972245773362196,2026-03-24,0.021167799852711267,Medium
s_242827,2026-02-26 06:02:47,google,g_camp_0011,mobile,B,South,0,14.8,61.8,1,2,4.43,0,0,0,,0,2.760009940032921,0.6931471805599453,1.691939133945844,2026-02-26,0.00752428012117136,Low
s_176208,2026-03-28 22:10:09,facebook,fb_camp_0003,mobile,A,Northeast,0,38.1,27.5,1,1,13.21,0,0,0,,0,3.66612246699132,0.6931471805599453,2.6539459421090092,2026-03-28,0.0019652423255148515,Low
s_124911,2026-02-24 22:23:02,facebook,fb_camp_0002,tablet,A,South,0,34.4,31.8,1,3,8.39,0,0,0,,0,3.5667118201397288,0.6931471805599453,2.2396452932201716,2026-02-24,0.004347779181774513,Low
s_994117,2026-03-23 22:24:51,google,g_camp_0011,mobile,B,Midwest,0,31.6,33.4,5,4,6.95,0,0,0,,0,3.484312288372662,1.791759469228055,2.0731719286662407,2026-03-23,0.017054923560042443,Medium
s_476585,2026-03-27 20:25:17,google,g_camp_0012,desktop,A,South,0,77.6,22.4,5,3,5.23,0,0,0,,0,4.364371699435161,1.791759469228055,1.8293763327993617,2026-03-27,0.014588864443057181,Medium
s_434205,2026-02-12 01:01:12,facebook,fb_camp_0001,desktop,A,Midwest,1,34.5,40.6,1,4,1.79,0,0,0,,0,3.56953269648137,0.6931471805599453,1.0260415958332743,2026-02-12,0.013424713686195766,Medium
s_083581,2026-02-17 02:51:14,facebook,fb_camp_0001,mobile,B,South,0,24.1,50.2,1,1,2.6,0,0,0,,0,3.2228678461377385,0.6931471805599453,1.2809338454620645,2026-02-17,0.005439824014358674,Low
s_606518,2026-02-06 12:54:33,facebook,fb_camp_0002,mobile,B,Midwest,0,9.3,4.2,1,1,8.22,0,0,0,,0,2.33214389523559,0.6931471805599453,2.2213750375685026,2026-02-06,0.0008237171327284301,Low
s_082295,2026-02-26 07:48:26,google,g_camp_0012,mobile,B,Midwest,0,103.8,68.6,10,7,2.61,1,9,1,0.0,0,4.6520537718869415,2.3978952727983707,1.2837077723447896,2026-02-26,0.27984609685376727,High
s_357459,2026-02-23 10:46:08,facebook,fb_camp_0002,mobile,B,South,0,33.4,0.0,5,1,2.53,0,0,0,,0,3.5380565643793527,1.791759469228055,1.2612978709452054,2026-02-23,0.0036677833844403758,Low
s_852818,2026-03-23 14:28:26,google,g_camp_0013,desktop,A,South,1,33.2,73.4,2,2,3.08,0,0,0,,0,3.5322256440685598,1.0986122886681096,1.4060969884160703,2026-03-23,0.017240345671527466,Medium
s_669661,2026-02-16 02:59:43,google,g_camp_0011,mobile,A,South,0,63.6,58.3,6,4,3.5,0,0,0,,0,4.168214410788556,1.9459101490553132,1.5040773967762742,2026-02-16,0.05649506378239005,High
s_748498,2026-03-11 02:57:47,facebook,fb_camp_0001,mobile,A,Midwest,0,14.1,70.8,1,2,10.49,0,0,0,,0,2.714694743820879,0.6931471805599453,2.4414770918606643,2026-03-11,0.005906118532300302,Low
s_890487,2026-03-15 18:01:20,google,g_camp_0013,mobile,B,South,0,33.3,50.0,7,6,2.21,1,10,1,0.0,0,3.535145354171894,2.0794415416798357,1.1662709371419244,2026-03-15,0.08842827586662666,High
s_588496,2026-03-01 19:53:35,facebook,fb_camp_0003,mobile,B,Midwest,0,9.8,0.0,2,0,11.44,0,0,0,,0,2.379546134130174,1.0986122886681096,2.5209170873110334,2026-03-01,0.000616716310695397,Low
s_223399,2026-03-19 15:13:25,google,g_camp_0011,mobile,B,Northeast,1,38.8,41.3,4,3,3.63,0,0,0,,0,3.6838669122903918,1.6094379124341003,1.5325568680981427,2026-03-19,0.01718033813492418,Medium
s_585599,2026-03-28 01:00:00,facebook,fb_camp_0002,mobile,B,Midwest,0,22.7,24.6,1,1,3.29,0,0,0,,0,3.1654750481410856,0.6931471805599453,1.4562867329399256,2026-03-28,0.0022484276802491846,Low
s_128354,2026-02-08 09:29:40,google,g_camp_0013,mobile,A,South,0,12.6,30.3,1,0,8.53,0,0,0,,0,2.6100697927420065,0.6931471805599453,2.254444717666111,2026-02-08,0.0010944829941986333,Low
s_245076,2026-02-22 08:25:42,facebook,fb_camp_0001,mobile,B,Midwest,0,18.7,22.9,3,2,5.93,0,0,0,,0,2.9806186357439426,1.3862943611198906,1.9358598132018119,2026-02-22,0.004274520945135792,Low
s_890561,2026-02-16 03:27:44,google,g_camp_0012,mobile,A,South,0,28.3,22.3,6,4,3.67,0,0,0,,0,3.3775875160230218,1.9459101490553132,1.541159071680806,2026-02-16,0.017057617155345386,Medium
s_956456,2026-02-21 21:18:07,facebook,fb_camp_0003,mobile,A,West,0,14.3,28.0,0,0,3.83,0,0,0,,0,2.72785282839839,0.0,1.5748464676644813,2026-02-21,0.0007665787838612158,Low
s_950118,2026-02-22 06:49:26,facebook,fb_camp_0001,mobile,B,Northeast,0,14.9,44.7,4,4,1.5,0,0,0,,0,2.766319109226186,1.6094379124341003,0.9162907318741551,2026-02-22,0.024610000674613507,Medium
s_060642,2026-02-14 22:21:11,facebook,fb_camp_0001,mobile,B,South,0,19.8,0.0,1,0,5.9,0,0,0,,0,3.0349529867072724,0.6931471805599453,1.9315214116032138,2026-02-14,0.0007106435205390769,Low
s_167513,2026-02-24 12:45:47,google,g_camp_0013,desktop,A,Northeast,0,39.5,58.5,7,4,2.38,1,7,1,1.0,1,3.7013019741124933,2.0794415416798357,1.2178757094949273,2026-02-24,0.05853940416276515,High
